timestamp,speed,peak,min,std,gyro,event
1774612416703,22.668564,3.1603408,-2.817501,1.6230727,0.3129855,NORMAL
1774612417722,25.524338,4.5018573,-3.7102857,1.7440021,0.5807587,NORMAL
1774612418761,26.489002,3.0190427,-3.9867532,1.7288587,0.443011,NORMAL
1774612419766,29.530201,2.8283908,-2.3267176,1.5485657,0.32580546,NORMAL
1774612420777,32.56452,3.1257484,-3.999358,1.5003734,0.4054627,NORMAL
1774612421804,34.701912,2.2096438,-4.0129538,1.2847788,0.40559748,NORMAL
1774612422855,36.157146,1.8721775,-2.0224879,1.0348022,0.37809536,NORMAL
1774612423885,36.382286,2.3158786,-1.1573768,0.81869006,0.3778157,NORMAL
1774612424892,35.79737,2.1311498,-1.439495,0.8161356,0.45016846,NORMAL
1774612425921,35.07202,2.595594,-1.1502923,1.1096177,0.48531136,NORMAL
1774612426946,34.363213,2.7661774,-2.2926261,1.1412578,0.39082065,NORMAL
1774612427968,33.347527,1.775169,-1.7216727,0.82631564,0.32084164,NORMAL
1774612428988,32.536514,1.604531,-1.664812,0.7966593,0.2667759,NORMAL
1774612430028,32.13631,1.1396034,-1.4093581,0.7119576,0.33750275,NORMAL
1774612431076,31.181873,1.1164962,-0.9037583,0.57554597,0.30937755,NORMAL
1774612432089,31.093126,1.3537756,-1.6612537,0.7566499,0.26801887,NORMAL
1774612433129,31.327877,1.0750182,-1.4028447,0.70796365,0.2635128,NORMAL
1774612434147,31.223927,1.5542008,-1.097459,0.5817965,0.29757723,NORMAL
1774612435174,31.593555,2.8438444,-1.9527346,1.196854,0.3627984,NORMAL
1774612436196,32.333736,1.3215926,-1.2543838,1.1031944,0.30431676,NORMAL
1774612437225,33.13784,1.4283019,-1.461706,0.71706533,0.2970117,NORMAL
1774612438253,33.447506,1.1687781,-0.7940024,0.5153911,0.31279153,NORMAL
1774612439263,32.970905,0.7840663,-0.7419466,0.39564422,0.2431507,NORMAL
1774612440287,32.195343,0.8489188,-0.9009924,0.5517688,0.28132814,NORMAL
1774612441308,32.176407,1.3563623,-0.90731615,0.67419595,0.27662858,NORMAL
1774612442331,32.121845,1.4169722,-1.9195254,0.6270414,0.2754722,NORMAL
1774612443331,32.276306,1.3673179,-1.3337791,0.6496798,0.2901098,NORMAL
1774612444363,32.872982,1.3896646,-0.9274198,0.70583534,0.2618821,NORMAL
1774612445392,33.82139,0.948982,-1.2722902,0.6005237,0.2290542,NORMAL
1774612446413,35.21123,1.5284704,-1.3314345,0.61540645,0.21048792,NORMAL
1774612447434,36.69314,1.5271124,-0.94284457,0.5558182,0.1807546,NORMAL
1774612448472,37.582283,1.0368546,-1.0398108,0.49341813,0.15362649,NORMAL
1774612449492,37.88537,2.133315,-1.3407645,0.702827,0.16518734,NORMAL
1774612450498,37.21762,1.10853,-1.4028571,0.7127779,0.17664465,NORMAL
1774612451534,36.183372,2.4358604,-1.2056103,0.9579547,0.25173685,NORMAL
1774612452554,34.396423,1.8391247,-1.8488653,1.1903086,0.30846816,NORMAL
1774612453599,31.495457,1.0828215,-1.0524688,0.758337,0.19777456,NORMAL
1774612454611,27.882874,4.2805753,-2.774317,1.13577,0.43147418,NORMAL
1774612455641,24.721725,3.8340971,-2.7526736,1.2535425,0.38614237,NORMAL
