speed,peakForwardAccel,minForwardAccel,stdAccel,meanGyro,instability_score,motion_intensity,label
30.206331,1.2119763,-1.4535503,0.7751134,0.15703462,0.8850376339999999,0.121719638225908,NORMAL
0.0,8.401649,-3.539564,1.9467568,2.6893146,3.8292770199999997,5.23544148488928,HARSH_ACCELERATION
38.115204,1.6826144,-1.0627403,0.89506197,0.32815155,1.124768055,0.2937159728015535,NORMAL
26.689072,1.5993907,-1.419503,0.7728237,0.18280677,0.900788439,0.141277404376449,NORMAL
22.290205,1.3392216,-1.0951815,0.54236215,0.2021696,0.68388087,0.10964913892064,NORMAL
35.293293,9.141691,-2.6003482,2.269718,0.6505282,2.72508774,1.4765155650476,UNSTABLE_RIDE
37.33818,1.66083,-1.7704351,0.84356046,0.22636992,1.002019404,0.1909567138453632,NORMAL
19.680664,6.098063,-1.7742516,2.7841375,0.54859626,3.168154882,1.5273674198257499,UNSTABLE_RIDE
19.634762,1.5150803,-2.5896645,1.0010914,0.17218506,1.1216209419999998,0.17237298277448398,NORMAL
27.525795,4.264654,-2.421316,1.2802883,0.27684817,1.4740820190000001,0.354445472927411,NORMAL
19.003325,3.4411266,-2.3810852,1.3108696,0.44816732,1.6245867239999998,0.587488915501472,UNSTABLE_RIDE
14.241535,1.0961306,-1.3138652,0.57433444,0.106095605,0.6486013635,0.060934359884136195,NORMAL
34.77262,4.9601817,-3.3715074,2.04805,0.23763597,2.214395179,0.4866903483585,NORMAL
0.0,8.806667,-8.208128,3.1137536,2.3612802,4.76664974,7.35244472335872,HARSH_ACCELERATION
15.623463,1.562509,-2.1991634,0.8721684,0.21190645,1.020502915,0.18481810944618,NORMAL
2.8871977,8.178468,-5.7378244,2.9518216,6.421847,7.4471145,18.9561466864952,HARSH_ACCELERATION
19.562353,2.0975604,-2.2924826,1.1534828,0.2014034,1.29446518,0.23231535776151999,NORMAL
32.286507,3.8104086,-3.2933898,1.7562631,0.4575703,2.07656231,0.80361383354593,NORMAL
21.433186,1.6632382,-0.60920346,0.7501979,0.15859374,0.861213518,0.118976690701146,NORMAL
34.840363,1.3179277,-4.0280166,1.0862875,0.37346622,1.347713854,0.40569168645825004,NORMAL
15.884007,2.290316,-2.2736201,1.5549785,0.3773221,1.81910397,0.58672775307485,UNSTABLE_RIDE
31.223927,1.5542008,-1.097459,0.5817965,0.29757723,0.790100561,0.17312939089369503,NORMAL
20.166004,2.5593927,-5.3785625,1.9397705,0.34021887,2.177923709,0.659946527569335,UNSTABLE_RIDE
0.0,6.45751,-2.2508771,2.718136,3.0232613,4.83441891,8.2176353769368,UNSTABLE_RIDE
